TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
HOXB13	6.511	3.723e-11	12.590	0.600	0.016	1.781e-05
AR	20.841	9.289e-97	11.826	0.588	0.017	2.035e-05
TRIM28	3.618	1.484e-04	17.232	0.591	0.018	2.773e-05
MAML3	3.428	3.042e-04	16.361	0.568	0.025	7.170e-05
FOXA1	17.915	4.490e-72	9.847	0.584	0.026	8.132e-05
ZNF486	2.424	7.666e-03	76.462	0.578	0.028	9.543e-05
TLE3	3.568	1.798e-04	12.740	0.561	0.030	1.239e-04
DUX4	2.920	1.753e-03	14.450	0.563	0.030	1.239e-04
GATA3	9.766	7.876e-23	10.401	0.546	0.032	1.425e-04
EHMT2	5.241	7.964e-08	9.919	0.586	0.032	1.474e-04
REST	7.521	2.725e-14	9.935	0.547	0.035	1.967e-04
PIAS1	6.127	4.473e-10	9.887	0.567	0.035	1.967e-04
ATF4	3.303	4.791e-04	10.360	0.569	0.036	2.154e-04
GATA6	5.168	1.181e-07	10.553	0.543	0.039	2.633e-04
FOXA2	6.377	9.021e-11	10.586	0.522	0.042	3.348e-04
CENPT	1.731	4.175e-02	14.006	0.673	0.043	3.523e-04
ZNF649	1.722	4.249e-02	17.473	0.579	0.045	4.182e-04
GATA4	5.526	1.639e-08	9.343	0.531	0.047	4.593e-04
ZNF586	1.721	4.265e-02	18.684	0.575	0.047	4.699e-04
PHOX2B	1.707	4.393e-02	41.284	0.556	0.048	5.030e-04
GATA2	5.092	1.768e-07	10.122	0.523	0.049	5.143e-04
LMNA	2.306	1.056e-02	10.546	0.562	0.049	5.143e-04
ATF7IP	1.675	4.699e-02	12.290	0.650	0.049	5.143e-04
EBF3	2.385	8.532e-03	10.981	0.543	0.050	5.736e-04
CHAT	2.309	1.047e-02	27.955	0.518	0.050	5.736e-04
OTX2	6.283	1.655e-10	9.191	0.521	0.051	6.113e-04
NUP98-HOXA9	1.722	4.253e-02	12.205	0.579	0.052	6.373e-04
BAHD1	2.671	3.777e-03	14.000	0.513	0.055	7.341e-04
SIX2	3.605	1.558e-04	10.556	0.511	0.059	9.390e-04
CDX2	2.518	5.899e-03	6.497	0.569	0.060	9.736e-04
EP300	6.808	4.965e-12	4.639	0.594	0.062	1.064e-03
CEBPB	7.644	1.054e-14	5.098	0.554	0.063	1.140e-03
HOXC9	2.291	1.098e-02	11.578	0.516	0.064	1.179e-03
NR3C1	8.650	2.585e-18	4.823	0.559	0.065	1.219e-03
KDM1B	1.650	4.944e-02	19.105	0.521	0.065	1.260e-03
NKX3-1	2.106	1.761e-02	9.539	0.530	0.066	1.302e-03
SOX2	5.670	7.149e-09	5.218	0.551	0.066	1.302e-03
SMARCA2	2.334	9.788e-03	7.194	0.543	0.067	1.324e-03
NANOG	6.173	3.346e-10	5.306	0.540	0.068	1.389e-03
ZNF680	2.740	3.068e-03	12.138	0.496	0.068	1.434e-03
NOTCH3	1.728	4.198e-02	6.787	0.595	0.070	1.526e-03
LRWD1	1.730	4.183e-02	6.412	0.662	0.071	1.598e-03
SOX11	2.119	1.705e-02	15.351	0.498	0.072	1.698e-03
ZNF808	1.611	5.357e-02	39.720	0.513	0.073	1.775e-03
ESR1	10.951	3.294e-28	4.175	0.556	0.076	1.964e-03
TCF4	2.517	5.913e-03	10.131	0.497	0.076	1.992e-03
CENPC	1.732	4.167e-02	5.341	0.802	0.079	2.226e-03
TBX5	3.029	1.227e-03	12.490	0.482	0.081	2.349e-03
EWSR1	2.253	1.212e-02	5.704	0.539	0.082	2.445e-03
EOMES	3.107	9.441e-04	6.306	0.512	0.082	2.478e-03
CTCF	17.116	5.610e-66	6.056	0.495	0.083	2.577e-03
RAD21	6.695	1.077e-11	8.600	0.482	0.083	2.577e-03
SMN1	1.655	4.895e-02	8.945	0.522	0.084	2.644e-03
PAX6	1.933	2.664e-02	7.236	0.517	0.084	2.713e-03
ZNF136	1.576	5.751e-02	16.137	0.507	0.085	2.748e-03
PLRG1	2.428	7.588e-03	4.426	0.578	0.085	2.783e-03
TEAD1	3.026	1.239e-03	4.561	0.535	0.087	2.926e-03
