TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
NR2C2	3.956	3.806e-05	2.343	0.640	0.045	4.182e-04
MBD2	2.672	3.768e-03	2.457	0.646	0.049	5.375e-04
FXR1	1.731	4.171e-02	3.401	0.671	0.052	6.373e-04
EPC1	2.335	9.764e-03	2.970	0.631	0.055	7.635e-04
DNMT3B	2.689	3.583e-03	3.786	0.621	0.057	8.245e-04
ZBTB33	3.687	1.136e-04	4.298	0.610	0.068	1.411e-03
ARNTL	2.335	9.762e-03	2.514	0.630	0.069	1.503e-03
NRF1	6.480	4.592e-11	1.698	0.635	0.070	1.526e-03
MYC	9.239	1.239e-20	1.560	0.646	0.070	1.550e-03
ZNF445	1.628	5.175e-02	5.040	0.627	0.074	1.827e-03
CSNK2A1	1.652	4.926e-02	3.387	0.630	0.075	1.908e-03
SUPT5H	3.618	1.482e-04	1.511	0.649	0.079	2.196e-03
NKRF	1.916	2.770e-02	3.216	0.620	0.079	2.196e-03
HDAC1	3.446	2.842e-04	1.532	0.636	0.084	2.713e-03
FAM208A	2.226	1.300e-02	2.413	0.624	0.085	2.748e-03
POLR2A	36.196	3.526e-287	1.146	0.677	0.088	3.074e-03
KDM5A	3.347	4.085e-04	1.294	0.649	0.093	3.674e-03
TCOF1	1.669	4.756e-02	2.289	0.631	0.094	3.717e-03
ZFX	2.610	4.532e-03	1.455	0.643	0.096	3.979e-03
PAF1	5.060	2.091e-07	1.103	0.639	0.098	4.300e-03
ATF1	2.454	7.058e-03	1.829	0.625	0.101	4.589e-03
KLF1	2.349	9.419e-03	2.370	0.614	0.103	4.942e-03
SP1	3.342	4.156e-04	1.380	0.630	0.104	5.098e-03
KLF13	1.887	2.959e-02	2.902	0.611	0.105	5.258e-03
ZMYM3	1.892	2.927e-02	2.720	0.608	0.114	6.722e-03
MYH11	1.745	4.046e-02	1.514	0.635	0.115	6.850e-03
HCFC1	2.803	2.530e-03	1.079	0.634	0.118	7.309e-03
MAPK1	2.152	1.571e-02	1.706	0.620	0.118	7.309e-03
ZBTB7A	3.897	4.877e-05	1.380	0.618	0.119	7.512e-03
KLF9	2.772	2.784e-03	1.197	0.629	0.120	7.789e-03
INO80	2.628	4.291e-03	1.083	0.632	0.123	8.435e-03
ZNF740	1.686	4.585e-02	3.072	0.603	0.130	9.916e-03
KAT5	2.611	4.515e-03	1.061	0.630	0.130	9.999e-03
ZNF711	1.549	6.063e-02	1.968	0.620	0.131	1.016e-02
KRAB	2.438	7.379e-03	2.212	0.604	0.133	1.059e-02
PHF6	1.669	4.760e-02	1.349	0.631	0.136	1.129e-02
BRPF3	2.765	2.842e-03	0.810	0.635	0.136	1.129e-02
AUTS2	1.645	5.002e-02	1.493	0.629	0.136	1.138e-02
HEY1	1.681	4.636e-02	2.452	0.606	0.136	1.138e-02
MNT	1.646	4.985e-02	2.917	0.602	0.138	1.184e-02
KAT8	1.934	2.658e-02	1.481	0.619	0.138	1.184e-02
CREB1	3.425	3.078e-04	0.724	0.633	0.139	1.212e-02
CBFB	2.507	6.095e-03	1.050	0.627	0.140	1.240e-02
NFYB	1.547	6.088e-02	2.995	0.602	0.145	1.358e-02
ZTA	1.482	6.920e-02	3.582	0.601	0.147	1.430e-02
GABPA	4.403	5.344e-06	0.573	0.630	0.150	1.527e-02
TFDP1	2.434	7.463e-03	1.131	0.617	0.151	1.538e-02
SIRT1	1.147	1.257e-01	3.060	0.610	0.151	1.538e-02
ZNF639	1.953	2.543e-02	1.567	0.610	0.153	1.627e-02
ZIC2	1.515	6.492e-02	1.564	0.618	0.155	1.685e-02
BCL11B	2.954	1.567e-03	0.707	0.627	0.156	1.697e-02
TRIM24	1.408	7.951e-02	3.798	0.598	0.158	1.781e-02
EGR1	2.288	1.108e-02	1.135	0.614	0.158	1.781e-02
RUNX1	2.472	6.714e-03	0.768	0.625	0.161	1.867e-02
YBX3	1.587	5.623e-02	2.453	0.600	0.161	1.892e-02
DPF1	1.153	1.245e-01	4.213	0.601	0.162	1.905e-02
SPIN1	1.693	4.519e-02	0.772	0.636	0.164	1.969e-02
KLF10	1.832	3.349e-02	1.290	0.614	0.164	1.982e-02
LEO1	1.308	9.540e-02	2.231	0.608	0.165	2.008e-02
ZNF131	1.649	4.957e-02	0.908	0.630	0.166	2.048e-02
PCGF1	1.644	5.011e-02	0.803	0.633	0.169	2.184e-02
BRD1	1.655	4.895e-02	0.844	0.630	0.169	2.184e-02
ERG	2.083	1.864e-02	0.786	0.620	0.173	2.326e-02
ORC1	1.490	6.812e-02	1.335	0.617	0.174	2.370e-02
ELK1	3.353	4.002e-04	0.563	0.620	0.175	2.400e-02
MLLT1	2.295	1.085e-02	0.689	0.621	0.177	2.474e-02
KMT2D	3.537	2.027e-04	0.312	0.628	0.178	2.520e-02
TRIM25	1.799	3.601e-02	1.867	0.598	0.178	2.535e-02
NFYA	2.669	3.801e-03	0.811	0.613	0.178	2.535e-02
E2F1	7.977	7.473e-16	0.064	0.634	0.178	2.551e-02
ZNF143	2.765	2.850e-03	0.646	0.617	0.179	2.566e-02
DDX21	2.300	1.072e-02	0.345	0.634	0.180	2.629e-02
WDR5	2.091	1.824e-02	0.534	0.629	0.183	2.740e-02
HDGF	2.162	1.532e-02	2.006	0.592	0.185	2.855e-02
LEF1	1.271	1.019e-01	0.800	0.642	0.185	2.855e-02
MCM7	1.305	9.599e-02	2.491	0.597	0.187	2.922e-02
ZNF274	1.256	1.045e-01	6.620	0.589	0.188	2.973e-02
KLF12	1.503	6.637e-02	1.032	0.618	0.188	2.990e-02
